"","X","year","month","yearmon","Number.of.Homicide.Convictions","Number.of.Homicide.Unsuccessful","Number.of.Offences.Against.The.Person.Convictions","Number.of.Offences.Against.The.Person.Unsuccessful","Number.of.Sexual.Offences.Convictions","Number.of.Sexual.Offences.Unsuccessful","Number.of.Burglary.Convictions","Number.of.Burglary.Unsuccessful","Number.of.Robbery.Convictions","Number.of.Robbery.Unsuccessful","Number.of.Theft.And.Handling.Convictions","Number.of.Theft.And.Handling.Unsuccessful","Number.of.Fraud.And.Forgery.Convictions","Number.of.Fraud.And.Forgery.Unsuccessful","Number.of.Criminal.Damage.Convictions","Number.of.Criminal.Damage.Unsuccessful","Number.of.Drugs.Offences.Convictions","Number.of.Drugs.Offences.Unsuccessful","Number.of.Public.Order.Offences.Convictions","Number.of.Public.Order.Offences.Unsuccessful","Number.of.All.Other.Offences..excluding.Motoring..Convictions","Number.of.All.Other.Offences..excluding.Motoring..Unsuccessful","Number.of.Motoring.Offences.Convictions","Number.of.Motoring.Offences.Unsuccessful","Number.of.Admin.Finalised.Unsuccessful"
"874","Gloucestershire","2015","may",2015-05-01,0,0,"70","26","1",0,"16",1,0,0,"93","7","6",1,"18",2,"17",0,"13",0,"14",6,"51","8","11"
"875","GreaterManchester","2015","may",2015-05-01,1,2,"619","155","41",18,"64",6,24,4,"393","25","28",3,"133",12,"161",13,"257",35,"67",12,"360","73","33"
"876","Gwent","2015","may",2015-05-01,0,1,"100","30","6",4,"18",3,9,0,"80","8","3",1,"36",9,"46",2,"51",8,"5",0,"55","8","5"
"877","Hampshire","2015","may",2015-05-01,1,1,"324","82","33",7,"25",11,12,1,"245","10","21",1,"77",12,"102",11,"83",17,"13",5,"246","23","17"
"878","Hertfordshire","2015","may",2015-05-01,1,1,"151","35","6",1,"25",1,4,4,"190","11","17",1,"36",5,"51",7,"62",12,"26",1,"107","23","22"
"879","Humberside","2015","may",2015-05-01,1,0,"131","35","13",9,"36",6,2,3,"179","12","4",2,"45",9,"61",1,"88",13,"23",1,"121","26","7"
"880","Kent","2015","may",2015-05-01,1,0,"225","68","18",14,"40",11,5,2,"242","33","27",3,"51",12,"90",4,"53",19,"52",9,"155","20","20"
"881","Lancashire","2015","may",2015-05-01,1,0,"272","85","28",16,"51",6,12,3,"297","15","14",1,"74",16,"111",5,"118",25,"109",19,"220","37","10"
"882","Leicestershire","2015","may",2015-05-01,1,1,"129","48","5",4,"20",1,4,0,"123","16","9",3,"23",4,"24",4,"20",12,"13",4,"130","25","11"
"883","Lincolnshire","2015","may",2015-05-01,1,0,"84","27","12",0,"16",2,2,0,"102","14","2",0,"27",6,"40",1,"46",9,"13",3,"123","17","7"
"884","Merseyside","2015","may",2015-05-01,3,0,"378","97","35",8,"27",5,15,3,"293","12","27",0,"93",11,"221",17,"114",13,"72",13,"198","30","14"
"885","Metropolitan and City","2015","may",2015-05-01,15,3,"1,295","594","142",54,"209",37,112,34,"1,141","124","183",49,"307",72,"801",55,"480",102,"414",96,"1,145","311","184"
"886","Norfolk","2015","may",2015-05-01,1,0,"176","44","6",5,"18",4,5,0,"140","13","4",0,"43",4,"55",2,"82",14,"16",2,"100","6","9"
"887","Northamptonshire","2015","may",2015-05-01,0,0,"116","39","7",4,"12",4,2,1,"93","6","3",0,"34",5,"30",2,"40",7,"17",1,"122","10","8"
"888","Northumbria","2015","may",2015-05-01,0,0,"265","141","19",9,"51",17,8,1,"523","48","14",3,"101",19,"84",8,"209",52,"60",18,"209","42","16"
"889","North Wales","2015","may",2015-05-01,0,0,"175","29","11",6,"11",1,4,1,"125","4","7",3,"36",5,"44",1,"81",4,"15",1,"98","12","5"
"890","North Yorkshire","2015","may",2015-05-01,3,1,"105","24","4",1,"23",2,2,1,"148","13","11",2,"23",2,"39",2,"55",11,"14",1,"110","5","3"
"891","Nottinghamshire","2015","may",2015-05-01,0,0,"247","89","15",3,"26",4,7,4,"230","22","11",1,"60",14,"117",3,"85",19,"36",10,"182","24","15"
"892","South Wales","2015","may",2015-05-01,1,0,"270","89","27",13,"54",7,9,1,"304","19","12",4,"60",8,"132",5,"174",25,"8",5,"599","61","15"
"893","South Yorkshire","2015","may",2015-05-01,5,0,"217","67","13",1,"32",6,11,0,"272","22","19",0,"68",10,"94",7,"63",14,"42",8,"146","10","7"
"894","Staffordshire","2015","may",2015-05-01,0,0,"158","62","18",6,"27",2,12,2,"155","20","9",0,"35",6,"85",4,"47",7,"29",2,"138","46","3"
"895","Suffolk","2015","may",2015-05-01,2,0,"150","31","6",1,"5",1,0,0,"78","2","2",0,"26",4,"32",1,"52",2,"12",2,"88","20","5"
"896","Surrey","2015","may",2015-05-01,0,0,"136","29","13",3,"26",2,4,0,"95","10","21",2,"20",4,"55",3,"36",6,"24",11,"133","20","8"
"897","Sussex","2015","may",2015-05-01,0,0,"244","80","30",19,"26",5,21,2,"256","17","14",2,"49",8,"84",3,"73",13,"39",9,"195","23","27"
"898","Thames Valley","2015","may",2015-05-01,3,0,"265","92","32",27,"26",7,10,3,"279","14","29",1,"61",7,"98",11,"104",20,"33",14,"242","27","19"
"899","Warwickshire","2015","may",2015-05-01,1,0,"42","14","7",3,"12",2,2,0,"69","7","2",1,"9",2,"19",1,"19",4,"19",1,"70","28","6"
"900","West Mercia","2015","may",2015-05-01,2,0,"197","30","18",8,"19",4,3,0,"133","13","10",1,"49",5,"51",1,"45",6,"21",3,"154","21","4"
"901","West Midlands","2015","may",2015-05-01,3,1,"474","156","29",10,"62",18,46,7,"539","53","18",7,"100",8,"173",9,"114",17,"130",10,"298","54","45"
"902","West Yorkshire","2015","may",2015-05-01,4,0,"424","122","46",14,"67",10,24,1,"396","29","23",6,"99",15,"150",6,"128",25,"49",13,"304","44","36"
"903","Wiltshire","2015","may",2015-05-01,0,0,"91","18","6",3,"8",2,2,1,"71","6","6",0,"24",4,"24",2,"29",9,"4",1,"75","9","3"
"775","National","2015","june",2015-06-01,72,23,"10,524","3,568","975",385,"1,411",281,477,112,"9,711","940","748",151,"2,431",471,"4,326",305,"3,865",709,"1,759",358,"8,644","1,703","845"
"776","Avon and Somerset","2015","june",2015-06-01,6,0,"267","88","39",30,"25",3,11,3,"278","13","17",0,"67",18,"112",6,"93",12,"40",5,"225","36","32"
"777","Bedfordshire","2015","june",2015-06-01,1,0,"81","28","5",3,"17",0,13,1,"85","6","10",2,"33",6,"37",3,"34",9,"16",7,"83","10","13"
"778","Cambridgeshire","2015","june",2015-06-01,0,0,"96","35","6",2,"21",2,5,4,"52","6","10",1,"23",2,"29",3,"13",0,"15",3,"81","10","10"
"779","Cheshire","2015","june",2015-06-01,0,0,"201","40","18",3,"14",4,3,1,"156","23","13",2,"39",9,"84",8,"55",7,"32",7,"157","19","13"
"780","Cleveland","2015","june",2015-06-01,1,0,"109","50","19",2,"39",5,5,1,"297","31","10",2,"46",5,"66",6,"103",15,"14",5,"84","8","6"
"781","Cumbria","2015","june",2015-06-01,0,0,"92","21","9",3,"10",4,2,0,"93","5","7",0,"31",1,"52",0,"36",3,"34",5,"81","11","4"
"782","Derbyshire","2015","june",2015-06-01,0,1,"215","67","11",7,"28",4,5,2,"211","13","20",1,"41",11,"92",7,"101",26,"17",6,"125","14","12"
"783","Devon and Cornwall","2015","june",2015-06-01,0,0,"190","73","4",3,"19",7,8,0,"173","10","6",2,"45",4,"77",5,"47",10,"58",2,"200","23","14"
"784","Dorset","2015","june",2015-06-01,1,0,"123","26","13",4,"21",1,1,0,"111","16","8",0,"15",4,"47",3,"44",5,"8",1,"84","10","8"
"785","Durham","2015","june",2015-06-01,0,0,"114","26","8",1,"35",2,3,0,"129","13","5",2,"41",7,"22",0,"70",11,"15",5,"75","6","1"
"786","Dyfed Powys","2015","june",2015-06-01,0,0,"101","21","9",2,"5",0,1,0,"51","3","3",0,"22",3,"78",2,"44",7,"5",1,"67","13","2"
"787","Essex","2015","june",2015-06-01,2,0,"249","86","37",20,"23",2,11,4,"158","23","12",4,"56",9,"67",14,"38",16,"28",7,"195","80","20"
"788","Gloucestershire","2015","june",2015-06-01,0,0,"87","24","6",1,"9",0,1,0,"64","4","4",1,"16",0,"24",1,"15",4,"15",1,"58","6","11"
"789","GreaterManchester","2015","june",2015-06-01,2,1,"705","218","59",35,"83",9,30,4,"495","41","48",10,"185",18,"169",11,"196",28,"93",10,"477","121","28"
"790","Gwent","2015","june",2015-06-01,3,1,"145","33","8",4,"14",2,6,1,"106","11","4",0,"32",4,"51",1,"52",5,"9",1,"67","6","4"
"791","Hampshire","2015","june",2015-06-01,2,0,"320","90","38",16,"28",3,25,3,"236","25","15",2,"58",13,"79",4,"108",18,"24",1,"225","31","10"
"792","Hertfordshire","2015","june",2015-06-01,1,0,"181","71","6",1,"29",4,8,1,"191","24","20",3,"42",10,"86",4,"52",11,"30",7,"189","41","21"
"793","Humberside","2015","june",2015-06-01,0,0,"206","35","26",13,"23",4,8,0,"203","20","11",1,"34",4,"60",5,"87",9,"30",8,"126","21","11"
"794","Kent","2015","june",2015-06-01,2,0,"302","105","22",12,"50",7,14,5,"280","61","24",2,"54",16,"87",7,"72",11,"46",14,"258","50","26"
"795","Lancashire","2015","june",2015-06-01,0,0,"272","88","38",9,"50",8,11,1,"296","23","20",6,"85",9,"123",7,"173",24,"103",12,"300","38","9"
"796","Leicestershire","2015","june",2015-06-01,1,1,"167","51","6",9,"15",0,2,2,"121","15","5",1,"36",8,"47",3,"37",6,"11",8,"127","35","17"
"797","Lincolnshire","2015","june",2015-06-01,0,0,"114","34","7",1,"12",3,2,0,"140","9","5",0,"32",3,"46",2,"68",9,"10",2,"141","31","6"
"798","Merseyside","2015","june",2015-06-01,6,0,"303","93","30",5,"19",4,5,3,"218","14","17",1,"49",13,"167",20,"88",17,"50",19,"165","29","12"
"799","Metropolitan and City","2015","june",2015-06-01,15,14,"1,562","725","149",59,"227",83,116,41,"1,240","183","179",55,"365",73,"955",86,"550",144,"479",117,"1,418","429","198"
"800","Norfolk","2015","june",2015-06-01,0,0,"171","66","6",0,"17",3,5,0,"155","13","4",3,"47",11,"35",2,"111",14,"14",1,"120","25","12"
"801","Northamptonshire","2015","june",2015-06-01,0,0,"128","38","13",13,"14",6,6,0,"130","15","6",1,"22",7,"56",6,"40",11,"9",2,"109","19","6"
"802","Northumbria","2015","june",2015-06-01,4,0,"303","138","24",9,"60",9,10,4,"462","59","27",4,"110",27,"134",10,"262",64,"56",16,"208","58","8"
"803","North Wales","2015","june",2015-06-01,1,0,"198","53","16",3,"16",3,1,1,"140","8","4",2,"36",8,"48",4,"45",8,"10",0,"88","21","2"
"804","North Yorkshire","2015","june",2015-06-01,2,1,"138","18","3",0,"16",1,1,1,"140","8","14",3,"33",6,"47",5,"63",6,"21",2,"135","11","13"
"805","Nottinghamshire","2015","june",2015-06-01,4,0,"241","87","18",7,"39",3,8,2,"253","14","14",1,"51",20,"112",8,"113",13,"60",11,"166","21","23"
"806","South Wales","2015","june",2015-06-01,1,0,"346","106","27",12,"52",10,13,3,"323","19","25",3,"86",8,"156",10,"153",23,"19",2,"643","57","8"
"807","South Yorkshire","2015","june",2015-06-01,4,0,"261","89","6",1,"53",7,8,2,"397","26","30",4,"74",14,"120",3,"97",19,"28",2,"170","22","11"
"808","Staffordshire","2015","june",2015-06-01,0,0,"172","62","15",3,"24",8,5,0,"167","10","10",5,"54",10,"85",0,"62",10,"34",5,"169","53","30"
"809","Suffolk","2015","june",2015-06-01,0,0,"134","33","2",1,"9",4,9,1,"98","8","4",1,"31",12,"49",2,"59",9,"15",1,"115","15","11"
"810","Surrey","2015","june",2015-06-01,0,0,"150","50","15",4,"13",1,4,0,"116","12","13",0,"14",10,"71",9,"35",5,"16",6,"128","7","10"
"811","Sussex","2015","june",2015-06-01,1,0,"277","87","31",11,"27",2,6,0,"238","21","22",5,"46",13,"107",8,"72",15,"28",9,"240","45","29"
"812","Thames Valley","2015","june",2015-06-01,1,0,"348","145","52",25,"41",18,8,3,"336","32","34",3,"70",10,"160",10,"117",28,"59",27,"321","57","27"
"813","Warwickshire","2015","june",2015-06-01,0,0,"74","21","5",1,"9",0,3,1,"64","5","1",0,"18",6,"20",0,"22",2,"11",2,"82","19","22"
"814","West Mercia","2015","june",2015-06-01,2,0,"181","54","26",5,"15",4,7,2,"171","10","8",1,"45",9,"71",0,"62",11,"27",0,"173","21","18"
"815","West Midlands","2015","june",2015-06-01,5,3,"577","190","60",21,"94",21,68,10,"662","45","21",5,"109",21,"196",10,"191",23,"116",13,"378","82","89"
"816","West Yorkshire","2015","june",2015-06-01,4,1,"518","187","72",24,"88",17,18,5,"380","42","34",9,"110",25,"173",10,"146",34,"49",5,"305","85","34"
"817","Wiltshire","2015","june",2015-06-01,0,0,"105","16","11",0,"8",3,1,0,"95","1","4",3,"28",4,"29",0,"39",7,"5",0,"86","7","4"
"732","National","2015","july",2015-07-01,76,16,"10,958","3,547","981",437,"1,430",288,446,144,"9,248","866","822",150,"2,530",449,"4,402",294,"3,875",725,"1,700",387,"8,936","1,585","1,051"
"733","Avon and Somerset","2015","july",2015-07-01,7,0,"300","89","52",18,"30",1,8,1,"246","16","18",3,"81",11,"121",12,"98",19,"52",15,"196","40","24"
"734","Bedfordshire","2015","july",2015-07-01,0,0,"93","26","4",3,"16",2,5,0,"89","5","23",1,"29",6,"32",3,"31",9,"8",8,"72","7","21"
"735","Cambridgeshire","2015","july",2015-07-01,0,0,"154","30","12",2,"12",3,7,5,"87","10","7",1,"40",6,"58",3,"19",3,"17",7,"103","8","20"
"736","Cheshire","2015","july",2015-07-01,1,0,"262","44","27",3,"26",4,3,1,"187","13","14",1,"62",5,"80",2,"72",14,"22",5,"143","15","8"
"737","Cleveland","2015","july",2015-07-01,0,0,"120","40","10",7,"36",4,14,3,"243","17","12",0,"51",11,"41",2,"80",23,"9",7,"68","6","6"
"738","Cumbria","2015","july",2015-07-01,0,0,"117","18","7",1,"16",2,3,0,"81","6","14",1,"42",1,"45",4,"16",2,"42",3,"89","15","2"
"739","Derbyshire","2015","july",2015-07-01,0,0,"198","59","26",3,"28",2,10,3,"141","21","11",4,"52",10,"71",5,"85",11,"14",6,"110","22","16"
"740","Devon and Cornwall","2015","july",2015-07-01,0,0,"185","53","12",1,"20",0,0,0,"148","9","9",2,"61",6,"64",3,"54",16,"71",16,"249","22","20"
"741","Dorset","2015","july",2015-07-01,0,0,"149","41","13",5,"10",3,2,0,"137","6","10",0,"26",5,"51",2,"62",7,"4",1,"90","13","15"
"742","Durham","2015","july",2015-07-01,1,0,"106","39","6",10,"19",2,2,0,"98","13","8",1,"35",8,"16",0,"57",5,"11",2,"86","6","3"
"743","Dyfed Powys","2015","july",2015-07-01,0,0,"95","40","9",7,"7",2,0,0,"59","2","5",1,"27",5,"81",4,"33",5,"3",1,"87","21","9"
"744","Essex","2015","july",2015-07-01,4,0,"293","123","45",17,"37",10,24,12,"206","16","34",5,"63",10,"81",9,"49",6,"30",13,"236","70","41"
"745","Gloucestershire","2015","july",2015-07-01,0,0,"68","28","4",0,"11",1,5,0,"84","4","3",0,"28",5,"24",1,"15",2,"13",4,"55","3","7"
"746","GreaterManchester","2015","july",2015-07-01,2,1,"690","167","60",35,"73",6,41,7,"403","33","37",5,"142",24,"175",19,"275",48,"102",15,"485","81","34"
"747","Gwent","2015","july",2015-07-01,2,0,"141","43","6",2,"13",9,4,1,"112","6","6",2,"40",8,"56",6,"40",7,"7",8,"99","7","6"
"748","Hampshire","2015","july",2015-07-01,3,0,"323","77","33",16,"41",5,2,5,"264","26","23",3,"57",11,"97",4,"114",15,"13",8,"267","46","20"
"749","Hertfordshire","2015","july",2015-07-01,1,0,"176","53","7",2,"28",5,15,3,"192","19","9",3,"19",15,"71",6,"47",11,"25",6,"166","29","39"
"750","Humberside","2015","july",2015-07-01,2,0,"180","29","36",11,"28",1,1,1,"174","11","13",4,"44",0,"54",3,"74",9,"19",1,"130","23","13"
"751","Kent","2015","july",2015-07-01,1,1,"260","100","23",15,"58",12,9,7,"273","44","29",4,"65",12,"122",7,"75",13,"45",18,"215","26","29"
"752","Lancashire","2015","july",2015-07-01,4,1,"323","66","30",14,"60",27,12,3,"281","22","14",4,"97",17,"132",2,"115",19,"118",16,"263","40","13"
"753","Leicestershire","2015","july",2015-07-01,2,0,"126","38","15",7,"6",6,0,1,"73","8","7",0,"14",9,"14",4,"27",2,"9",2,"86","23","15"
"754","Lincolnshire","2015","july",2015-07-01,2,0,"112","36","8",3,"20",1,0,2,"143","3","6",2,"37",4,"28",3,"73",6,"9",13,"145","19","14"
"755","Merseyside","2015","july",2015-07-01,4,1,"347","83","21",10,"26",4,12,1,"219","13","19",6,"67",7,"219",7,"118",16,"34",5,"218","25","15"
"756","Metropolitan and City","2015","july",2015-07-01,14,2,"1,625","823","144",88,"261",72,121,56,"1,257","206","224",48,"400",77,"1,094",93,"529",142,"455",108,"1,483","456","287"
"757","Norfolk","2015","july",2015-07-01,0,0,"174","56","8",1,"17",2,5,1,"126","7","4",1,"44",11,"53",4,"92",10,"17",2,"116","14","5"
"758","Northamptonshire","2015","july",2015-07-01,0,0,"79","32","10",4,"8",4,1,1,"71","7","5",0,"18",5,"26",4,"31",7,"4",2,"99","16","17"
"759","Northumbria","2015","july",2015-07-01,1,0,"306","120","19",14,"62",5,11,0,"441","51","18",10,"125",29,"98",5,"226",52,"50",9,"281","50","21"
"760","North Wales","2015","july",2015-07-01,3,0,"178","57","12",6,"23",6,0,3,"146","9","17",2,"48",9,"46",3,"58",8,"10",1,"118","18","4"
"761","North Yorkshire","2015","july",2015-07-01,1,0,"123","24","12",1,"19",2,1,1,"141","9","12",1,"37",6,"59",2,"98",7,"15",0,"127","15","6"
"762","Nottinghamshire","2015","july",2015-07-01,3,2,"274","88","15",3,"39",8,7,2,"226","24","20",2,"53",11,"102",3,"94",46,"41",23,"158","16","22"
"763","South Wales","2015","july",2015-07-01,2,0,"396","139","28",17,"51",8,9,2,"313","23","14",6,"64",10,"221",9,"170",28,"16",2,"720","52","18"
"764","South Yorkshire","2015","july",2015-07-01,2,2,"262","65","5",3,"38",2,11,0,"317","21","19",1,"58",6,"116",5,"100",13,"30",4,"165","30","14"
"765","Staffordshire","2015","july",2015-07-01,2,1,"195","54","23",5,"35",8,3,1,"181","13","8",5,"45",4,"73",6,"56",7,"55",6,"153","43","31"
"766","Suffolk","2015","july",2015-07-01,0,0,"124","39","5",0,"10",3,1,0,"78","8","7",1,"26",4,"37",1,"36",5,"7",2,"90","16","4"
"767","Surrey","2015","july",2015-07-01,0,0,"195","73","11",9,"10",1,4,0,"84","8","11",2,"14",3,"55",4,"43",6,"18",3,"168","23","12"
"768","Sussex","2015","july",2015-07-01,0,0,"276","91","39",11,"24",6,7,3,"206","24","18",2,"51",8,"94",5,"91",25,"25",5,"258","26","23"
"769","Thames Valley","2015","july",2015-07-01,2,1,"373","109","48",32,"26",11,9,4,"313","28","31",6,"64",10,"145",8,"147",23,"37",13,"276","26","29"
"770","Warwickshire","2015","july",2015-07-01,1,0,"92","13","5",1,"5",1,3,0,"71","5","5",1,"14",3,"21",1,"17",4,"17",2,"66","19","6"
"771","West Mercia","2015","july",2015-07-01,1,0,"230","53","29",9,"21",3,0,0,"199","11","9",1,"46",7,"61",1,"53",6,"29",2,"188","36","17"
"772","West Midlands","2015","july",2015-07-01,4,3,"674","219","55",17,"75",17,45,6,"648","58","37",1,"115",30,"231",15,"202",34,"130",17,"406","94","104"
"773","West Yorkshire","2015","july",2015-07-01,4,1,"455","158","36",21,"75",16,27,7,"392","24","23",6,"105",16,"118",11,"164",30,"62",5,"337","59","37"
"774","Wiltshire","2015","july",2015-07-01,0,0,"109","12","11",3,"10",1,2,1,"98","7","9",1,"24",4,"19",3,"39",4,"5",1,"69","9","4"
"560","National","2015","august",2015-08-01,52,22,"9,508","3,052","906",356,"1,232",194,316,112,"8,070","763","729",127,"2,235",363,"3,804",230,"3,386",602,"1,555",297,"7,702","1,432","781"
"561","Avon and Somerset","2015","august",2015-08-01,3,0,"320","87","40",21,"41",3,12,6,"234","18","21",2,"66",9,"118",3,"88",10,"44",5,"183","29","32"
"562","Bedfordshire","2015","august",2015-08-01,1,0,"58","29","5",1,"9",1,5,1,"58","9","4",1,"14",1,"13",1,"16",1,"9",3,"53","9","17"
"563","Cambridgeshire","2015","august",2015-08-01,0,0,"89","15","5",3,"11",0,3,0,"60","7","6",2,"31",2,"29",0,"20",3,"16",0,"84","10","12"
"564","Cheshire","2015","august",2015-08-01,0,0,"188","48","20",8,"22",2,4,0,"151","8","6",0,"49",7,"72",2,"70",8,"13",0,"133","33","5"
"565","Cleveland","2015","august",2015-08-01,0,0,"87","29","13",8,"34",5,5,0,"261","16","22",6,"45",2,"46",1,"81",12,"19",8,"78","6","9"
"566","Cumbria","2015","august",2015-08-01,0,0,"83","12","7",3,"4",0,0,0,"77","5","5",0,"27",3,"39",1,"57",3,"24",1,"69","5","3"
